input_max_length,attention,tag,ruler_niah_mk_2 ruler_recall,ruler_niah_mk_3 ruler_recall,ruler_niah_mv ruler_recall,json_kv substring_exact_match,nq substring_exact_match,triviaqa substring_exact_match,hotpotqa substring_exact_match,popqa substring_exact_match,infbench_qa rougeL_f1,infbench_choice exact_match,trec_coarse exact_match,trec_fine exact_match,banking77 exact_match,Recall,RAG,ICL,LongQA,Ours
131072,xattn,qwen_xattn_threshold0.95,8.0,1.0,27.0,7.000000000000001,22.666666666666664,52.666666666666664,23.666666666666668,26.333333333333332,5.805799549607599,38.0,,,,10.75,31.33333333333333,,21.9028997748038,21.32874436937904
131072,xattn_v6,qwen_xattn_v6_threshold0.95,8.0,1.0,27.0,7.000000000000001,22.666666666666664,52.666666666666664,23.666666666666668,26.333333333333332,5.805799549607599,38.0,75.8,,,10.75,31.33333333333333,75.8,21.9028997748038,34.946558277034285
131072,flex,qwen_flex_gamma0.95_tau0.1,8.0,2.0,30.5,8.0,19.833333333333332,48.66666666666667,22.666666666666664,26.333333333333332,6.453481518481519,31.0,75.2,44.800000000000004,,12.125,29.375,60.0,18.72674075924076,30.05668518981019
8192,xattn,qwen_xattn_threshold0.95,100.0,97.0,97.25,99.0,52.0,77.33333333333333,57.666666666666664,59.66666666666667,,,81.0,43.4,74.8,98.3125,61.66666666666666,66.39999999999999,,75.45972222222223
8192,xattn_v6,qwen_xattn_v6_threshold0.95,100.0,98.0,97.25,99.0,52.0,77.33333333333333,57.666666666666664,59.66666666666667,25.849616755793225,44.0,,,,98.5625,61.66666666666666,,34.92480837789661,65.05132501485441
8192,flex,qwen_flex_gamma0.95_tau0.1,96.0,81.0,75.5,71.0,48.5,79.5,53.666666666666664,54.0,,,80.4,38.800000000000004,76.8,80.875,58.916666666666664,65.33333333333333,,68.375
16384,xattn,qwen_xattn_threshold0.95,97.0,98.0,95.75,97.0,52.83333333333333,82.66666666666667,59.0,57.833333333333336,,,86.0,47.199999999999996,82.39999999999999,96.9375,63.08333333333333,71.86666666666666,,77.29583333333333
16384,xattn_v6,qwen_xattn_v6_threshold0.95,97.0,98.0,95.75,97.0,52.666666666666664,82.5,59.0,58.333333333333336,32.89770830476713,49.0,,,,96.9375,63.125,,40.94885415238356,67.00378471746119
16384,flex,qwen_flex_gamma0.95_tau0.1,95.0,76.0,86.0,74.0,46.666666666666664,82.16666666666667,55.666666666666664,56.333333333333336,,,83.0,47.4,82.39999999999999,82.75,60.20833333333333,70.93333333333334,,71.29722222222222
32768,xattn,qwen_xattn_threshold0.95,96.0,96.0,88.75,94.0,42.16666666666667,80.33333333333333,47.0,59.833333333333336,,,86.0,49.2,83.6,93.6875,57.33333333333333,72.93333333333332,,74.65138888888889
32768,xattn_v6,qwen_xattn_v6_threshold0.95,96.0,96.0,88.75,94.0,42.5,79.83333333333333,47.0,59.66666666666667,11.297826515589673,54.0,,,,93.6875,57.25,,32.64891325779484,61.195471085931615
32768,flex,qwen_flex_gamma0.95_tau0.1,93.0,78.0,80.25,87.0,41.66666666666667,83.83333333333334,46.666666666666664,52.666666666666664,,,85.2,48.8,84.0,84.5625,56.208333333333336,72.66666666666667,,71.14583333333333
65536,xattn,qwen_xattn_threshold0.95,41.0,32.0,78.25,31.0,32.33333333333333,68.66666666666667,41.0,42.66666666666667,,,86.8,52.2,83.39999999999999,45.5625,46.16666666666667,74.13333333333333,,55.2875
65536,xattn_v6,qwen_xattn_v6_threshold0.95,41.0,32.0,79.0,30.0,32.5,69.33333333333334,40.0,42.0,7.831936364289305,38.0,,,,45.5,45.958333333333336,,22.915968182144653,38.124767171826
65536,flex,qwen_flex_gamma0.95_tau0.1,41.0,28.999999999999996,71.0,24.0,30.5,67.83333333333333,39.33333333333333,35.333333333333336,,,86.0,50.4,,41.25,43.25,68.2,,50.9
